wl 3	15.000	8.970	12.091
wl 4	15.000	8.918	11.455
wl 5	15.000	8.865	10.818
wl 6	15.000	8.811	10.182
wl 7	15.000	8.757	9.545
wl 8	15.000	8.704	8.909
wl 9	15.000	8.651	8.273
wl 10	15.000	8.601	7.636
wl 11	15.000	8.554	7.000
wl 12	15.000	8.512	6.364
wl 13	15.000	8.473	5.727
wl 14	15.000	8.437	5.091
wl 15	15.000	8.404	4.455
wl 16	15.000	8.373	3.818
wl 17	15.000	8.342	3.182
wl 18	15.000	8.309	2.545
wl 19	15.000	8.264	1.909
wl 20	15.000	8.141	1.273
wl 21	15.000	7.736	0.636
Edge: Hull, Top	15.000	0.000	0.000
Edge: Hull, Bottom	15.000	9.000	12.461
b 1	20.000	0.750	0.001
b 2	20.000	1.500	0.007
b 3	20.000	2.250	0.020
b 4	20.000	3.000	0.041
b 5	20.000	3.750	0.075
b 6	20.000	4.500	0.129
b 7	20.000	5.250	0.216
b 8	20.000	6.000	0.377
b 9	20.000	6.750	0.770
b 10	20.000	7.500	2.453
b 11	20.000	8.250	8.234
DWL	20.000	7.993	6.600
wl 3	20.000	8.924	12.091
wl 4	20.000	8.814	11.455
wl 5	20.000	8.703	10.818
wl 6	20.000	8.591	10.182
wl 7	20.000	8.479	9.545
wl 8	20.000	8.367	8.909
wl 9	20.000	8.257	8.273
wl 10	20.000	8.151	7.636
wl 11	20.000	8.052	7.000
wl 12	20.000	7.960	6.364
wl 13	20.000	7.876	5.727
wl 14	20.000	7.798	5.091
wl 15	20.000	7.725	4.455
wl 16	20.000	7.655	3.818
wl 17	20.000	7.587	3.182
wl 18	20.000	7.512	2.545
wl 19	20.000	7.402	1.909
wl 20	20.000	7.141	1.273
wl 21	20.000	6.577	0.636
Edge: Hull, Top	20.000	0.000	0.000
Edge: Hull, Bottom	20.000	8.998	12.527
b 1	25.000	0.750	0.005
b 2	25.000	1.500	0.025
b 3	25.000	2.250	0.070
b 4	25.000	3.000	0.149
b 5	25.000	3.750	0.284
b 6	25.000	4.500	0.519
b 7	25.000	5.250	0.975
b 8	25.000	6.000	2.115
b 9	25.000	6.750	5.284
b 10	25.000	7.500	8.012
b 11	25.000	8.250	10.346
DWL	25.000	7.086	6.600
wl 3	25.000	8.811	12.091
wl 4	25.000	8.608	11.455
wl 5	25.000	8.403	10.818
wl 6	25.000	8.197	10.182
wl 7	25.000	7.990	9.545
wl 8	25.000	7.784	8.909
wl 9	25.000	7.581	8.273
wl 10	25.000	7.385	7.636
wl 11	25.000	7.198	7.000
wl 12	25.000	7.023	6.364
wl 13	25.000	6.858	5.727
wl 14	25.000	6.704	5.091
wl 15	25.000	6.558	4.455
wl 16	25.000	6.418	3.818
wl 17	25.000	6.281	3.182
wl 18	25.000	6.133	2.545
wl 19	25.000	5.917	1.909
wl 20	25.000	5.536	1.273
wl 21	25.000	4.750	0.636
Edge: Hull, Top	25.000	0.000	0.000
Edge: Hull, Bottom	25.000	8.985	12.643
b 1	30.000	0.750	0.017
b 2	30.000	1.500	0.090
b 3	30.000	2.250	0.258
b 4	30.000	3.000	0.580
b 5	30.000	3.750	1.166
b 6	30.000	4.500	2.335
b 7	30.000	5.250	5.062
b 8	30.000	6.000	6.865
b 9	30.000	6.750	8.447
b 10	30.000	7.500	9.947
b 11	30.000	8.250	11.438
DWL	30.000	5.882	6.600
wl 2	30.000	8.893	12.727
wl 3	30.000	8.576	12.091
wl 4	30.000	8.258	11.455
wl 5	30.000	7.939	10.818
wl 6	30.000	7.618	10.182
wl 7	30.000	7.298	9.545
wl 8	30.000	6.979	8.909
wl 9	30.000	6.665	8.273
wl 10	30.000	6.357	7.636
wl 11	30.000	6.061	7.000
wl 12	30.000	5.779	6.364
wl 13	30.000	5.511	5.727
wl 14	30.000	5.261	5.091
wl 15	30.000	5.035	4.455
wl 16	30.000	4.857	3.818
wl 17	30.000	4.736	3.182
wl 18	30.000	4.577	2.545
wl 19	30.000	4.298	1.909
wl 20	30.000	3.848	1.273
wl 21	30.000	3.096	0.636
Edge: Hull, Top	30.000	0.000	0.000
Edge: Hull, Bottom	30.000	8.940	12.822
b 1	35.000	0.750	0.044
b 2	35.000	1.500	0.242
b 3	35.000	2.250	0.715
b 4	35.000	3.000	1.634
b 5	35.000	3.750	4.939
b 6	35.000	4.500	6.539
b 7	35.000	5.250	7.742
b 8	35.000	6.000	8.881
b 9	35.000	6.750	10.003
b 10	35.000	7.500	11.127
b 11	35.000	8.250	12.258
DWL	35.000	4.536	6.600
wl 2	35.000	8.559	12.727
wl 3	35.000	8.139	12.091
wl 4	35.000	7.718	11.455
wl 5	35.000	7.294	10.818
wl 6	35.000	6.869	10.182
wl 7	35.000	6.444	9.545
wl 8	35.000	6.019	8.909
wl 9	35.000	5.597	8.273
wl 10	35.000	5.182	7.636
wl 11	35.000	4.779	7.000
wl 12	35.000	4.397	6.364
wl 13	35.000	4.054	5.727
wl 14	35.000	3.792	5.091
wl 15	35.000	3.678	4.455
wl 16	35.000	3.652	3.818
wl 17	35.000	3.585	3.182
wl 18	35.000	3.422	2.545
wl 19	35.000	3.153	1.909
wl 20	35.000	2.758	1.273
wl 21	35.000	2.157	0.636
Edge: Hull, Top	35.000	0.000	0.000
Edge: Hull, Bottom	35.000	8.770	13.048
b 1	40.000	0.750	0.100
b 2	40.000	1.500	0.550
b 3	40.000	2.250	1.602
b 4	40.000	3.000	6.575
b 5	40.000	3.750	7.600
b 6	40.000	4.500	8.527
b 7	40.000	5.250	9.445
b 8	40.000	6.000	10.376
b 9	40.000	6.750	11.321
b 10	40.000	7.500	12.281
b 11	40.000	8.250	13.253
DWL	40.000	3.016	6.600
wl 2	40.000	7.846	12.727
wl 3	40.000	7.352	12.091
wl 4	40.000	6.855	11.455
wl 5	40.000	6.352	10.818
wl 6	40.000	5.845	10.182
wl 7	40.000	5.331	9.545
wl 8	40.000	4.813	8.909
wl 9	40.000	4.292	8.273
wl 10	40.000	3.779	7.636
wl 11	40.000	3.292	7.000
wl 12	40.000	2.873	6.364
wl 13	40.000	2.616	5.727
wl 14	40.000	2.602	5.091
wl 15	40.000	2.705	4.455
wl 16	40.000	2.771	3.818
wl 17	40.000	2.742	3.182
wl 18	40.000	2.614	2.545
wl 19	40.000	2.392	1.909
wl 20	40.000	2.068	1.273
wl 21	40.000	1.587	0.636
Edge: Hull, Top	40.000	0.000	0.000
Edge: Hull, Bottom	40.000	8.284	13.297
b 1	45.000	0.750	0.250
b 2	45.000	1.500	6.705
b 2	45.000	1.500	5.453
b 2	45.000	1.500	1.227
b 3	45.000	2.250	7.760
b 4	45.000	3.000	8.601
b 5	45.000	3.750	9.417
b 6	45.000	4.500	10.247
b 7	45.000	5.250	11.099
b 8	45.000	6.000	11.971
b 9	45.000	6.750	12.860
DWL	45.000	1.452	6.600
wl 1	45.000	7.169	13.364
wl 2	45.000	6.639	12.727
wl 3	45.000	6.102	12.091
wl 4	45.000	5.558	11.455
wl 5	45.000	5.005	10.818
wl 6	45.000	4.442	10.182
wl 7	45.000	3.867	9.545
wl 8	45.000	3.284	8.909
wl 9	45.000	2.701	8.273
wl 10	45.000	2.147	7.636
wl 11	45.000	1.668	7.000
wl 12	45.000	1.375	6.364
wl 13	45.000	1.402	5.727
wl 14	45.000	1.660	5.091
wl 15	45.000	1.918	4.455
wl 16	45.000	2.060	3.818
wl 17	45.000	2.076	3.182
wl 18	45.000	1.984	2.545
wl 19	45.000	1.798	1.909
wl 20	45.000	1.523	1.273
wl 21	45.000	1.129	0.636
Edge: Hull, Top	45.000	0.000	0.000
Edge: Hull, Bottom	45.000	7.322	13.548
b 1	50.000	0.750	8.546
b 1	50.000	0.750	5.509
b 1	50.000	0.750	0.820
b 2	50.000	1.500	9.449
b 2	50.000	1.499	3.961
b 2	50.000	1.497	2.924
b 3	50.000	2.250	10.249
b 4	50.000	3.000	11.033
b 5	50.000	3.750	11.828
b 6	50.000	4.500	12.638
b 7	50.000	5.250	13.466
wl 1	50.000	5.158	13.364
wl 2	50.000	4.581	12.727
wl 3	50.000	3.995	12.091
wl 4	50.000	3.400	11.455
wl 5	50.000	2.795	10.818
wl 6	50.000	2.186	10.182
wl 7	50.000	1.588	9.545
wl 8	50.000	1.032	8.909
wl 9	50.000	0.561	8.273
wl 10	50.000	0.211	7.636
wl 12	50.000	0.099	6.364
wl 13	50.000	0.567	5.727
wl 14	50.000	1.060	5.091
wl 15	50.000	1.377	4.455
wl 16	50.000	1.518	3.818
wl 17	50.000	1.525	3.182
wl 18	50.000	1.430	2.545
wl 19	50.000	1.252	1.909
wl 20	50.000	0.997	1.273
wl 21	50.000	0.619	0.636
Edge: Hull, Bottom	50.000	5.548	13.798
Edge: Hull, Right	50.000	0.000	7.026
Edge: Hull, Right	50.000	0.000	6.593
Edge: Hull, Right	50.000	0.000	0.180
